N,SOA,trial,t_rel,ignition
128,1,1,26,0.0
128,1,1,27,0.0
128,1,1,28,0.0
128,1,1,29,0.0
128,1,1,30,0.0
128,2,0,-10,0.0
128,2,0,-9,0.0
128,2,0,-8,0.0
128,2,0,-7,0.0
128,2,0,-6,0.0
128,2,0,-5,0.0
128,2,0,-4,0.0
128,2,0,-3,0.0
128,2,0,-2,0.0
128,2,0,-1,0.0
128,2,0,0,0.0
128,2,0,1,0.0
128,2,0,2,0.0
128,2,0,3,0.0
128,2,0,4,0.0
128,2,0,5,0.0
128,2,0,6,0.0
128,2,0,7,0.0
128,2,0,8,0.0
128,2,0,9,0.0
128,2,0,10,0.0
128,2,0,11,0.0
128,2,0,12,0.0
128,2,0,13,0.0
128,2,0,14,0.0
128,2,0,15,0.0
128,2,0,16,0.0
128,2,0,17,0.0
128,2,0,18,0.0
128,2,0,19,0.0
128,2,0,20,0.0
128,2,0,21,0.0
128,2,0,22,0.0
128,2,0,23,0.0
128,2,0,24,0.0
128,2,0,25,0.0
128,2,0,26,0.0
128,2,0,27,0.0
128,2,0,28,0.0
128,2,0,29,0.0
128,2,0,30,0.0
128,2,1,-10,0.0
128,2,1,-9,0.0
128,2,1,-8,0.0
128,2,1,-7,0.0
128,2,1,-6,0.0
128,2,1,-5,0.0
128,2,1,-4,0.0
128,2,1,-3,0.0
128,2,1,-2,0.0
128,2,1,-1,0.0
128,2,1,0,0.0
128,2,1,1,0.0
128,2,1,2,0.0
128,2,1,3,0.0
128,2,1,4,0.0
128,2,1,5,0.0
128,2,1,6,0.0
128,2,1,7,0.0
128,2,1,8,0.0
128,2,1,9,0.0
128,2,1,10,0.0
128,2,1,11,0.0
128,2,1,12,0.0
128,2,1,13,0.0
128,2,1,14,0.0
128,2,1,15,0.0
128,2,1,16,0.0
128,2,1,17,0.0
128,2,1,18,0.0
128,2,1,19,0.0
128,2,1,20,0.0
128,2,1,21,0.0
128,2,1,22,0.0
128,2,1,23,0.0
128,2,1,24,0.0
128,2,1,25,0.0
128,2,1,26,0.0
128,2,1,27,0.0
128,2,1,28,0.0
128,2,1,29,0.0
128,2,1,30,0.0
128,3,0,-10,0.0
128,3,0,-9,0.0
128,3,0,-8,0.0
128,3,0,-7,0.0
128,3,0,-6,0.0
128,3,0,-5,0.0
128,3,0,-4,0.0
128,3,0,-3,0.0
128,3,0,-2,0.0
128,3,0,-1,0.0
128,3,0,0,0.0
128,3,0,1,0.0
128,3,0,2,0.0
128,3,0,3,0.0
128,3,0,4,0.0
128,3,0,5,0.0
128,3,0,6,0.0
128,3,0,7,0.0
128,3,0,8,0.0
128,3,0,9,0.0
128,3,0,10,0.0
128,3,0,11,0.0
128,3,0,12,0.0
128,3,0,13,0.0
128,3,0,14,0.0
128,3,0,15,0.0
128,3,0,16,0.0
128,3,0,17,0.0
128,3,0,18,0.0
128,3,0,19,0.0
128,3,0,20,0.0
128,3,0,21,0.0
128,3,0,22,0.0
128,3,0,23,0.0
128,3,0,24,0.0
128,3,0,25,0.0
128,3,0,26,0.0
128,3,0,27,0.0
128,3,0,28,0.0
128,3,0,29,0.0
128,3,0,30,0.0
128,3,1,-10,0.0
128,3,1,-9,0.0
128,3,1,-8,0.0
128,3,1,-7,0.0
128,3,1,-6,0.0
128,3,1,-5,0.0
128,3,1,-4,0.0
128,3,1,-3,0.0
128,3,1,-2,0.0
128,3,1,-1,0.0
128,3,1,0,0.0
128,3,1,1,0.0
128,3,1,2,0.0
128,3,1,3,0.0
128,3,1,4,0.0
128,3,1,5,0.0
128,3,1,6,0.0
128,3,1,7,0.0
128,3,1,8,0.0
128,3,1,9,0.0
128,3,1,10,0.0
128,3,1,11,0.0
128,3,1,12,0.0
128,3,1,13,0.0
128,3,1,14,0.0
128,3,1,15,0.0
128,3,1,16,0.0
128,3,1,17,0.0
128,3,1,18,0.0
128,3,1,19,0.0
128,3,1,20,0.0
128,3,1,21,0.0
128,3,1,22,0.0
128,3,1,23,0.0
128,3,1,24,0.0
128,3,1,25,0.0
128,3,1,26,0.0
128,3,1,27,0.0
128,3,1,28,0.0
128,3,1,29,0.0
128,3,1,30,0.0
128,4,0,-10,0.0
128,4,0,-9,0.0
128,4,0,-8,0.0
128,4,0,-7,0.0
128,4,0,-6,0.0
128,4,0,-5,0.0
128,4,0,-4,0.0
128,4,0,-3,0.0
128,4,0,-2,0.0
128,4,0,-1,0.0
128,4,0,0,0.0
128,4,0,1,0.0
128,4,0,2,0.0
128,4,0,3,0.0
128,4,0,4,0.0
128,4,0,5,0.0
128,4,0,6,0.0
128,4,0,7,0.0
128,4,0,8,0.0
128,4,0,9,0.0
128,4,0,10,0.0
128,4,0,11,0.0
128,4,0,12,0.0
128,4,0,13,0.0
128,4,0,14,0.0
128,4,0,15,0.0
128,4,0,16,0.0
128,4,0,17,0.0
128,4,0,18,0.0
128,4,0,19,0.0
128,4,0,20,0.0
128,4,0,21,0.0
128,4,0,22,0.0
128,4,0,23,0.0
128,4,0,24,0.0
128,4,0,25,0.0
128,4,0,26,0.0
128,4,0,27,0.0
128,4,0,28,0.0
128,4,0,29,0.0
128,4,0,30,0.0
128,4,1,-10,0.0
128,4,1,-9,0.0
128,4,1,-8,0.0
128,4,1,-7,0.0
128,4,1,-6,0.0
128,4,1,-5,0.0
128,4,1,-4,0.0
128,4,1,-3,0.0
128,4,1,-2,0.0
128,4,1,-1,0.0
128,4,1,0,0.0
128,4,1,1,0.0
128,4,1,2,0.0
128,4,1,3,0.0
128,4,1,4,0.0
128,4,1,5,0.0
128,4,1,6,0.0
128,4,1,7,0.0
128,4,1,8,0.0
128,4,1,9,0.0
128,4,1,10,0.0
128,4,1,11,0.0
128,4,1,12,0.0
128,4,1,13,0.0
128,4,1,14,0.0
128,4,1,15,0.0
128,4,1,16,0.0
128,4,1,17,0.0
128,4,1,18,0.0
128,4,1,19,0.0
128,4,1,20,0.0
128,4,1,21,0.0
128,4,1,22,0.0
128,4,1,23,0.0
128,4,1,24,0.0
128,4,1,25,0.0
128,4,1,26,0.0
128,4,1,27,0.0
128,4,1,28,0.0
128,4,1,29,0.0
128,4,1,30,0.0
128,5,0,-10,0.0
128,5,0,-9,0.0
128,5,0,-8,0.0
128,5,0,-7,0.0
128,5,0,-6,0.0
128,5,0,-5,0.0
128,5,0,-4,0.0
128,5,0,-3,0.0
128,5,0,-2,0.0
128,5,0,-1,0.0
128,5,0,0,0.0
128,5,0,1,0.0
128,5,0,2,0.0
128,5,0,3,0.0
128,5,0,4,0.0
128,5,0,5,0.0
128,5,0,6,0.0
128,5,0,7,0.0
128,5,0,8,0.0
128,5,0,9,0.0
128,5,0,10,0.0
128,5,0,11,0.0
128,5,0,12,0.0
128,5,0,13,0.0
128,5,0,14,0.0
128,5,0,15,0.0
128,5,0,16,0.0
128,5,0,17,0.0
128,5,0,18,0.0
128,5,0,19,0.0
128,5,0,20,0.0
128,5,0,21,0.0
128,5,0,22,0.0
128,5,0,23,0.0
128,5,0,24,0.0
128,5,0,25,0.0
128,5,0,26,0.0
128,5,0,27,0.0
128,5,0,28,0.0
128,5,0,29,0.0
128,5,0,30,0.0
128,5,1,-10,0.0
128,5,1,-9,0.0
128,5,1,-8,0.0
128,5,1,-7,0.0
128,5,1,-6,0.0
128,5,1,-5,0.0
128,5,1,-4,0.0
128,5,1,-3,0.0
128,5,1,-2,0.0
128,5,1,-1,0.0
128,5,1,0,0.0
128,5,1,1,0.0
128,5,1,2,0.0
128,5,1,3,0.0
128,5,1,4,0.0
128,5,1,5,0.0
128,5,1,6,0.0
128,5,1,7,0.0
128,5,1,8,0.0
128,5,1,9,0.0
128,5,1,10,0.0
128,5,1,11,0.0
128,5,1,12,0.0
128,5,1,13,0.0
128,5,1,14,0.0
128,5,1,15,0.0
128,5,1,16,0.0
128,5,1,17,0.0
128,5,1,18,0.0
128,5,1,19,0.0
128,5,1,20,0.0
128,5,1,21,0.0
128,5,1,22,0.0
128,5,1,23,0.0
128,5,1,24,0.0
128,5,1,25,0.0
128,5,1,26,0.0
128,5,1,27,0.0
128,5,1,28,0.0
128,5,1,29,0.0
128,5,1,30,0.0
128,6,0,-10,0.0
128,6,0,-9,0.0
128,6,0,-8,0.0
128,6,0,-7,0.0
128,6,0,-6,0.0
128,6,0,-5,0.0
128,6,0,-4,0.0
128,6,0,-3,0.0
128,6,0,-2,0.0
128,6,0,-1,0.0
128,6,0,0,0.0
128,6,0,1,0.0
128,6,0,2,0.0
128,6,0,3,0.0
128,6,0,4,0.0
128,6,0,5,0.0
128,6,0,6,0.0
128,6,0,7,0.0
128,6,0,8,0.0
128,6,0,9,0.0
128,6,0,10,0.0
128,6,0,11,0.0
128,6,0,12,0.0
128,6,0,13,0.0
128,6,0,14,0.0
128,6,0,15,0.0
128,6,0,16,0.0
128,6,0,17,0.0
128,6,0,18,0.0
128,6,0,19,0.0
128,6,0,20,0.0
128,6,0,21,0.0
128,6,0,22,0.0
128,6,0,23,0.0
128,6,0,24,0.0
128,6,0,25,0.0
128,6,0,26,0.0
128,6,0,27,0.0
128,6,0,28,0.0
128,6,0,29,0.0
128,6,0,30,0.0
128,6,1,-10,0.0
128,6,1,-9,0.0
128,6,1,-8,0.0
128,6,1,-7,0.0
128,6,1,-6,0.0
128,6,1,-5,0.0
128,6,1,-4,0.0
128,6,1,-3,0.0
128,6,1,-2,0.0
128,6,1,-1,0.0
128,6,1,0,0.0
128,6,1,1,0.0
128,6,1,2,0.0
128,6,1,3,0.0
128,6,1,4,0.0
128,6,1,5,0.0
128,6,1,6,0.0
128,6,1,7,0.0
128,6,1,8,0.0
128,6,1,9,0.0
128,6,1,10,0.0
128,6,1,11,0.0
128,6,1,12,0.0
128,6,1,13,0.0
128,6,1,14,0.0
128,6,1,15,0.0
128,6,1,16,0.0
128,6,1,17,0.0
128,6,1,18,0.0
128,6,1,19,0.0
128,6,1,20,0.0
128,6,1,21,0.0
128,6,1,22,0.0
128,6,1,23,0.0
128,6,1,24,0.0
128,6,1,25,0.0
128,6,1,26,0.0
128,6,1,27,0.0
128,6,1,28,0.0
128,6,1,29,0.0
128,6,1,30,0.0
128,8,0,-10,0.0
128,8,0,-9,0.0
128,8,0,-8,0.0
128,8,0,-7,0.0
128,8,0,-6,0.0
128,8,0,-5,0.0
128,8,0,-4,0.0
128,8,0,-3,0.0
128,8,0,-2,0.0
128,8,0,-1,0.0
128,8,0,0,0.0
128,8,0,1,0.0
128,8,0,2,0.0
128,8,0,3,0.0
128,8,0,4,0.0
128,8,0,5,0.0
128,8,0,6,0.0
128,8,0,7,0.0
128,8,0,8,0.0
128,8,0,9,0.0
128,8,0,10,0.0
128,8,0,11,0.0
128,8,0,12,0.0
128,8,0,13,0.0
128,8,0,14,0.0
128,8,0,15,0.0
128,8,0,16,0.0
128,8,0,17,0.0
128,8,0,18,0.0
128,8,0,19,0.0
128,8,0,20,0.0
128,8,0,21,0.0
128,8,0,22,0.0
128,8,0,23,0.0
128,8,0,24,0.0
128,8,0,25,0.0
128,8,0,26,0.0
128,8,0,27,0.0
128,8,0,28,0.0
128,8,0,29,0.0
128,8,0,30,0.0
128,8,1,-10,0.0
128,8,1,-9,0.0
128,8,1,-8,0.0
128,8,1,-7,0.0
128,8,1,-6,0.0
128,8,1,-5,0.0
128,8,1,-4,0.0
128,8,1,-3,0.0
128,8,1,-2,0.0
128,8,1,-1,0.0
128,8,1,0,0.0
128,8,1,1,0.0
128,8,1,2,0.0
128,8,1,3,0.0
128,8,1,4,0.0
128,8,1,5,0.0
128,8,1,6,0.0
128,8,1,7,0.0
128,8,1,8,0.0
128,8,1,9,0.0
128,8,1,10,0.0
128,8,1,11,0.0
128,8,1,12,0.0
128,8,1,13,0.0
128,8,1,14,0.0
128,8,1,15,0.0
128,8,1,16,0.0
128,8,1,17,0.0
128,8,1,18,0.0
128,8,1,19,0.0
128,8,1,20,0.0
128,8,1,21,0.0
128,8,1,22,0.0
128,8,1,23,0.0
128,8,1,24,0.0
128,8,1,25,0.0
128,8,1,26,0.0
128,8,1,27,0.0
128,8,1,28,0.0
128,8,1,29,0.0
128,8,1,30,0.0
